189,163,72,72
190,162,72,72
188,160,72,72
189,163,72,72
190,163,72,72
189,162,72,72
190,162,72,72
191,160,72,72
191,161,72,72
193,162,72,72
193,162,72,72
193,162,72,72
194,161,72,72
194,161,72,72
193,161,72,72
192,162,72,72
189,163,72,72
187,164,72,72
184,164,72,72
179,165,72,72
177,167,72,72
171,167,72,72
167,167,72,72
166,167,72,72
162,168,72,72
156,167,72,72
151,164,72,72
145,166,72,72
138,164,72,72
133,162,72,72
124,161,72,72
121,161,72,72
116,162,72,72
105,160,72,72
103,160,72,72
102,158,72,72
98,160,72,72
96,157,72,72
93,161,72,72
88,164,72,72
87,166,72,72
87,169,72,72
85,170,72,72
91,173,72,72
92,173,72,72
97,175,72,72
99,175,72,72
109,175,72,72
114,176,72,72
117,174,72,72
128,172,72,72
135,172,72,72
142,173,72,72
145,172,72,72
155,170,72,72
166,169,72,72
178,165,72,72
185,165,72,72
192,166,72,72
199,165,72,72
207,164,72,72
220,164,72,72
222,164,72,72
233,163,72,72
234,164,72,72
241,162,72,72
245,163,72,72
245,162,72,72
247,163,72,72
244,160,72,72
242,159,72,72
241,161,72,72
236,160,72,72
235,161,72,72
229,160,72,72
225,161,72,72
224,162,72,72
221,161,72,72
217,162,72,72
210,160,72,72
206,158,72,72
202,158,72,72
198,159,72,72
192,161,72,72
190,160,72,72
184,164,72,72
180,166,72,72
176,165,72,72
174,167,72,72
172,168,72,72
172,168,72,72
174,167,72,72
176,166,72,72
177,164,72,72
182,162,72,72
184,159,72,72
184,158,72,72
181,155,72,72
179,154,72,72
178,154,72,72
174,152,72,72
169,152,72,72
167,152,72,72
163,149,72,72
159,150,72,72
156,151,72,72
154,151,72,72
154,151,72,72
152,152,72,72
150,154,72,72
148,156,72,72
148,157,72,72
148,157,72,72
147,157,72,72
148,157,72,72
152,155,72,72
153,156,72,72
155,154,72,72
159,152,72,72
160,152,72,72
161,150,72,72
162,151,72,72
163,149,72,72
164,150,72,72
165,150,72,72
165,151,72,72
162,152,72,72
162,152,72,72
159,151,72,72
157,152,72,72
157,151,72,72
154,153,72,72
151,152,72,72
150,151,72,72
149,152,72,72
149,152,72,72
147,152,72,72
148,152,72,72
148,153,72,72
150,152,72,72
150,153,72,72
152,152,72,72
154,151,72,72
156,153,72,72
155,152,72,72
155,152,72,72
156,152,72,72
151,152,72,72
151,152,72,72
151,151,72,72
148,153,72,72
147,153,72,72
146,154,72,72
145,154,72,72
142,154,72,72
142,155,72,72
143,154,72,72
143,154,72,72
144,154,72,72
143,154,72,72
143,154,72,72
144,154,72,72
146,154,72,72
146,154,72,72
145,154,72,72
148,155,72,72
148,154,72,72
147,154,72,72
147,155,72,72
149,155,72,72
149,155,72,72
151,156,72,72
151,156,72,72
151,156,72,72
152,157,72,72
151,155,72,72
151,156,72,72
151,156,72,72
149,155,72,72
149,157,72,72
149,155,72,72
146,155,72,72
145,153,72,72
143,152,72,72
143,151,72,72
142,149,72,72
142,150,72,72
143,149,72,72
143,148,72,72
142,147,72,72
143,146,72,72
142,147,72,72
144,147,72,72
144,146,72,72
145,145,72,72
146,147,72,72
147,148,72,72
150,149,72,72
151,151,72,72
153,152,72,72
157,153,72,72
159,154,72,72
163,157,72,72
167,158,72,72
167,158,72,72
168,159,72,72
168,158,72,72
169,158,72,72
170,158,72,72
169,157,72,72
169,157,72,72
169,158,72,72
167,158,72,72
167,157,72,72
165,157,72,72
164,158,72,72
164,157,72,72
163,158,72,72
161,157,72,72
159,157,72,72
156,157,72,72
154,156,72,72
151,155,72,72
151,154,72,72
149,155,72,72
147,154,72,72
145,154,72,72
146,155,72,72
145,155,72,72
147,156,72,72
146,155,72,72
150,155,72,72
150,153,72,72
149,152,72,72
150,153,72,72
148,151,72,72
146,151,72,72
